item_id,create_time,warehouse_id,exist_state,color_id,item_type_id
000000000000000,2019-05-24,00004,1,,0005
000000000000001,2019-04-17,00005,1,,0009
000000000000002,2018-09-26,00009,0,,0009
000000000000003,2012-02-19,00005,1,,0002
000000000000004,2014-05-14,00008,1,,0001
000000000000005,2020-01-31,00000,0,,0000
000000000000006,2012-06-20,00001,0,,0001
000000000000007,2012-05-17,00005,1,,0005
000000000000008,2016-02-09,00008,1,,0007
000000000000009,2016-03-29,00006,0,,0001
000000000000010,2016-10-13,00000,0,,0001
000000000000011,2017-05-03,00000,0,,0008
000000000000012,2020-02-20,00001,1,,0009
000000000000013,2014-05-15,00006,0,,0000
000000000000014,2019-07-28,00007,1,,0000
000000000000015,2012-06-20,00009,1,,0005
000000000000016,2013-05-06,00004,0,,0006
000000000000017,2019-04-01,00004,0,,0001
000000000000018,2013-09-18,00007,0,,0009
000000000000019,2019-08-23,00007,0,,0002
000000000000020,2016-05-31,00009,0,,0008
000000000000021,2019-09-08,00005,0,,0000
000000000000022,2019-07-26,00006,1,,0005
000000000000023,2019-08-07,00004,0,,0001
000000000000024,2020-02-28,00002,1,,0006
000000000000025,2012-11-22,00004,0,,0000
000000000000026,2014-10-06,00008,0,,0001
000000000000027,2015-01-27,00008,1,,0003
000000000000028,2017-05-04,00001,1,,0000
000000000000029,2019-04-02,00002,1,,0008
000000000000030,2012-09-18,00002,1,,0006
000000000000031,2019-04-24,00002,1,,0003
000000000000032,2012-08-18,00006,0,,0003
000000000000033,2019-04-07,00006,1,,0004
000000000000034,2013-03-03,00003,0,,0008
000000000000035,2018-09-16,00009,0,,0007
000000000000036,2018-05-08,00003,0,,0002
000000000000037,2020-07-09,00008,1,,0000
000000000000038,2016-07-03,00003,0,,0008
000000000000039,2012-11-13,00000,0,,0002
000000000000040,2017-05-08,00008,0,,0009
000000000000041,2012-10-15,00003,1,,0008
000000000000042,2014-07-30,00005,0,,0009
000000000000043,2018-08-04,00003,1,,0005
000000000000044,2020-06-09,00009,0,,0006
000000000000045,2017-09-05,00004,1,,0000
000000000000046,2011-10-16,00008,0,,0004
000000000000047,2012-10-26,00000,0,,0000
000000000000048,2015-08-20,00008,1,,0009
000000000000049,2017-12-29,00007,0,,0008
000000000000050,2016-09-26,00002,0,,0002
000000000000051,2018-01-22,00000,1,,0000
000000000000052,2013-03-06,00005,1,,0009
000000000000053,2020-01-12,00009,1,,0008
000000000000054,2013-10-06,00005,0,,0008
000000000000055,2014-08-16,00003,0,,0001
000000000000056,2012-02-14,00002,0,,0003
000000000000057,2012-07-19,00008,1,,0006
000000000000058,2014-08-17,00003,0,,0004
000000000000059,2015-04-04,00005,0,,0007
000000000000060,2016-02-07,00007,1,,0000
000000000000061,2012-03-18,00009,0,,0009
000000000000062,2014-08-14,00000,0,,0007
000000000000063,2019-09-28,00008,1,,0006
000000000000064,2018-10-09,00002,0,,0000
000000000000065,2020-05-24,00002,1,,0002
000000000000066,2012-07-09,00004,0,,0001
000000000000067,2020-07-24,00007,0,,0000
000000000000068,2015-01-10,00004,1,,0005
000000000000069,2015-08-20,00001,1,,0003
000000000000070,2019-03-26,00004,0,,0002
000000000000071,2013-07-10,00000,0,,0001
000000000000072,2016-01-11,00005,0,,0005
000000000000073,2017-05-04,00004,1,,0009
000000000000074,2017-07-17,00006,0,,0001
000000000000075,2018-10-26,00009,1,,0002
000000000000076,2019-07-18,00009,1,,0003
000000000000077,2017-01-07,00002,1,,0009
000000000000078,2015-07-17,00005,0,,0000
000000000000079,2018-08-25,00005,1,,0008
000000000000080,2018-12-02,00009,1,,0000
000000000000081,2014-11-12,00000,0,,0005
000000000000082,2019-01-22,00004,1,,0006
000000000000083,2020-06-02,00007,1,,0007
000000000000084,2019-03-16,00005,0,,0009
000000000000085,2020-03-14,00007,0,,0005
000000000000086,2012-09-22,00000,1,,0006
000000000000087,2012-10-27,00003,1,,0000
000000000000088,2015-07-03,00007,0,,0004
000000000000089,2017-07-02,00005,0,,0001
000000000000090,2019-02-21,00004,0,,0000
000000000000091,2014-10-30,00008,1,,0004
000000000000092,2016-09-19,00006,0,,0009
000000000000093,2014-09-11,00007,1,,0002
000000000000094,2018-03-14,00004,1,,0006
000000000000095,2017-11-11,00003,0,,0002
000000000000096,2014-10-29,00003,1,,0009
000000000000097,2019-09-22,00005,0,,0001
000000000000098,2013-08-19,00003,1,,0009
000000000000099,2012-09-09,00006,0,,0005
000000000000100,2020-04-09,00008,0,,0006
000000000000101,2012-09-08,00007,0,,0004
000000000000102,2012-09-13,00003,0,,0002
000000000000103,2015-12-09,00000,0,,0003
000000000000104,2013-04-27,00009,0,,0000
000000000000105,2015-02-26,00009,1,,0008
000000000000106,2019-10-18,00008,1,,0007
000000000000107,2011-10-17,00003,0,,0004
000000000000108,2015-05-07,00002,1,,0003
000000000000109,2016-07-16,00008,1,,0005
000000000000110,2014-05-08,00005,1,,0005
000000000000111,2016-03-16,00009,1,,0007
000000000000112,2020-07-07,00000,1,,0009
000000000000113,2016-11-28,00000,0,,0009
000000000000114,2014-11-19,00002,1,,0001
000000000000115,2019-01-26,00004,1,,0009
000000000000116,2012-08-15,00008,0,,0005
000000000000117,2018-01-22,00005,0,,0000
000000000000118,2016-03-01,00004,1,,0002
000000000000119,2016-11-22,00004,0,,0004
000000000000120,2016-02-25,00002,1,,0009
000000000000121,2020-06-24,00002,0,,0006
000000000000122,2015-05-26,00008,0,,0001
000000000000123,2012-09-21,00007,0,,0009
000000000000124,2017-07-24,00009,0,,0001
000000000000125,2012-08-16,00001,1,,0005
000000000000126,2017-05-31,00000,1,,0002
000000000000127,2014-01-25,00003,1,,0000
000000000000128,2018-09-21,00008,1,,0003
000000000000129,2014-08-23,00007,1,,0004
000000000000130,2019-11-13,00002,1,,0004
000000000000131,2016-05-27,00004,1,,0002
000000000000132,2019-09-03,00006,0,,0000
000000000000133,2016-01-06,00005,0,,0002
000000000000134,2012-05-18,00009,1,,0007
000000000000135,2014-01-10,00004,1,,0004
000000000000136,2019-06-16,00002,1,,0009
000000000000137,2012-04-03,00000,0,,0003
000000000000138,2013-04-05,00000,1,,0003
000000000000139,2014-03-17,00006,1,,0001
000000000000140,2016-11-10,00005,1,,0003
000000000000141,2018-07-30,00000,0,,0002
000000000000142,2015-07-27,00009,1,,0004
000000000000143,2017-05-12,00007,0,,0002
000000000000144,2018-11-27,00003,0,,0003
000000000000145,2019-01-28,00004,0,,0003
000000000000146,2019-03-20,00000,1,,0003
000000000000147,2019-09-04,00004,1,,0000
000000000000148,2019-10-24,00007,0,,0002
000000000000149,2013-05-05,00006,1,,0006
000000000000150,2012-08-22,00002,1,,0006
000000000000151,2016-08-18,00004,1,,0001
000000000000152,2019-04-11,00002,1,,0007
000000000000153,2017-03-08,00007,0,,0005
000000000000154,2012-08-14,00007,1,,0003
000000000000155,2016-06-04,00002,1,,0004
000000000000156,2017-05-14,00006,0,,0002
000000000000157,2014-12-25,00008,0,,0004
000000000000158,2020-06-24,00006,0,,0000
000000000000159,2013-04-07,00000,1,,0003
000000000000160,2013-06-17,00007,1,,0004
000000000000161,2020-03-26,00005,1,,0002
000000000000162,2017-12-15,00007,1,,0000
000000000000163,2014-01-16,00007,0,,0004
000000000000164,2013-10-27,00001,0,,0001
000000000000165,2018-06-07,00008,1,,0007
000000000000166,2011-09-15,00005,1,,0007
000000000000167,2014-11-26,00000,0,,0003
000000000000168,2012-09-12,00001,0,,0001
000000000000169,2019-03-04,00008,1,,0009
000000000000170,2016-07-05,00001,1,,0005
000000000000171,2019-11-24,00005,1,,0006
000000000000172,2019-02-03,00003,1,,0002
000000000000173,2014-12-18,00001,1,,0002
000000000000174,2012-04-20,00001,0,,0008
000000000000175,2013-07-24,00002,1,,0002
000000000000176,2018-09-30,00007,1,,0009
000000000000177,2014-07-12,00002,0,,0004
000000000000178,2014-09-10,00003,1,,0005
000000000000179,2018-01-02,00000,1,,0006
000000000000180,2019-04-19,00004,1,,0004
000000000000181,2016-11-07,00003,1,,0005
000000000000182,2014-05-15,00006,1,,0009
000000000000183,2019-12-09,00005,0,,0002
000000000000184,2015-11-15,00008,1,,0003
000000000000185,2014-07-31,00003,0,,0000
000000000000186,2015-08-02,00002,0,,0002
000000000000187,2012-07-17,00007,0,,0001
000000000000188,2019-11-14,00004,1,,0006
000000000000189,2014-12-08,00007,0,,0005
000000000000190,2018-06-23,00005,0,,0000
000000000000191,2012-09-19,00008,0,,0008
000000000000192,2011-12-10,00008,1,,0003
000000000000193,2017-03-31,00001,1,,0007
000000000000194,2019-07-05,00000,1,,0003
000000000000195,2013-07-26,00007,1,,0006
000000000000196,2013-05-30,00000,1,,0003
000000000000197,2016-01-26,00005,0,,0005
000000000000198,2012-02-10,00005,1,,0004
000000000000199,2014-10-04,00000,0,,0004
000000000000200,2011-11-13,00005,1,,0005
000000000000201,2015-01-26,00007,0,,0009
000000000000202,2016-08-06,00001,1,,0004
000000000000203,2013-07-06,00002,0,,0007
000000000000204,2017-02-18,00004,0,,0009
000000000000205,2013-01-24,00008,1,,0007
000000000000206,2020-07-28,00006,1,,0008
000000000000207,2017-10-19,00009,1,,0001
000000000000208,2014-12-11,00006,1,,0007
000000000000209,2020-01-28,00002,1,,0005
000000000000210,2018-11-09,00005,1,,0005
000000000000211,2015-03-14,00009,0,,0003
000000000000212,2019-06-12,00000,1,,0009
000000000000213,2014-02-20,00004,1,,0006
000000000000214,2018-10-14,00001,0,,0002
000000000000215,2013-11-10,00003,1,,0007
000000000000216,2011-09-07,00008,1,,0009
000000000000217,2019-03-14,00005,0,,0007
000000000000218,2012-06-22,00001,0,,0007
000000000000219,2017-10-26,00000,1,,0002
000000000000220,2015-06-17,00002,1,,0004
000000000000221,2015-01-28,00000,0,,0005
000000000000222,2016-07-23,00000,0,,0003
000000000000223,2019-07-23,00006,0,,0009
000000000000224,2017-12-19,00006,0,,0001
000000000000225,2013-09-04,00005,0,,0007
000000000000226,2020-01-02,00008,0,,0002
000000000000227,2018-02-12,00007,0,,0009
000000000000228,2017-05-21,00000,0,,0002
000000000000229,2013-12-06,00000,1,,0008
000000000000230,2013-04-07,00001,1,,0008
000000000000231,2013-04-29,00004,0,,0001
000000000000232,2020-03-02,00005,1,,0000
000000000000233,2013-07-02,00003,1,,0001
000000000000234,2015-11-29,00008,1,,0008
000000000000235,2011-11-15,00003,0,,0008
000000000000236,2018-01-16,00001,0,,0001
000000000000237,2016-07-17,00007,0,,0007
000000000000238,2016-03-11,00001,1,,0009
000000000000239,2012-10-13,00007,0,,0009
000000000000240,2013-02-01,00006,0,,0003
000000000000241,2014-10-15,00005,1,,0002
000000000000242,2019-07-13,00002,1,,0005
000000000000243,2019-08-08,00002,1,,0006
000000000000244,2020-06-03,00008,1,,0002
000000000000245,2016-09-27,00001,1,,0001
000000000000246,2013-10-16,00009,1,,0009
000000000000247,2018-05-01,00004,0,,0006
000000000000248,2012-05-26,00002,0,,0007
000000000000249,2013-06-24,00004,0,,0007
000000000000250,2018-12-10,00002,0,,0002
000000000000251,2012-06-19,00001,0,,0001
000000000000252,2012-09-15,00003,0,,0007
000000000000253,2018-09-15,00007,1,,0007
000000000000254,2020-04-04,00007,0,,0003
000000000000255,2013-01-01,00006,0,,0002
000000000000256,2013-08-03,00005,1,,0004
000000000000257,2017-11-19,00006,0,,0003
000000000000258,2019-01-14,00001,0,,0000
000000000000259,2015-11-14,00008,0,,0005
000000000000260,2012-04-02,00004,1,,0007
000000000000261,2018-05-09,00005,0,,0003
000000000000262,2017-04-16,00000,0,,0004
000000000000263,2020-02-27,00006,0,,0000
000000000000264,2014-04-27,00003,1,,0002
000000000000265,2014-01-11,00002,0,,0000
000000000000266,2014-09-11,00007,1,,0000
000000000000267,2014-01-24,00006,0,,0005
000000000000268,2019-04-01,00005,1,,0004
000000000000269,2014-08-24,00009,1,,0003
000000000000270,2013-07-28,00006,1,,0009
000000000000271,2017-12-22,00009,0,,0007
000000000000272,2019-08-21,00004,1,,0007
000000000000273,2019-02-10,00004,1,,0009
000000000000274,2012-03-17,00004,0,,0001
000000000000275,2016-07-19,00009,0,,0003
000000000000276,2019-02-15,00000,0,,0003
000000000000277,2013-06-18,00009,0,,0009
000000000000278,2019-06-03,00001,0,,0003
000000000000279,2013-05-23,00005,0,,0007
000000000000280,2016-11-20,00003,1,,0006
000000000000281,2018-11-11,00004,0,,0006
000000000000282,2012-12-12,00000,1,,0009
000000000000283,2011-09-28,00008,1,,0004
000000000000284,2011-10-20,00002,1,,0002
000000000000285,2014-07-04,00002,1,,0001
000000000000286,2012-07-08,00009,1,,0006
000000000000287,2015-05-04,00009,1,,0003
000000000000288,2018-08-04,00000,1,,0006
000000000000289,2016-03-25,00002,0,,0006
000000000000290,2012-04-26,00000,0,,0003
000000000000291,2014-04-09,00004,0,,0000
000000000000292,2016-01-19,00008,1,,0004
000000000000293,2019-11-15,00006,1,,0004
000000000000294,2011-11-20,00007,0,,0001
000000000000295,2016-03-18,00008,0,,0009
000000000000296,2013-01-21,00006,1,,0008
000000000000297,2020-06-06,00001,0,,0006
000000000000298,2020-05-19,00002,1,,0006
000000000000299,2017-05-03,00003,0,,0003
000000000000300,2013-07-25,00009,0,,0003
000000000000301,2020-05-13,00000,0,,0006
000000000000302,2018-02-24,00000,1,,0008
000000000000303,2020-07-22,00009,0,,0008
